year,gender,hs.type,hs.location,hs.score,math,history,science,spanish,toeic
2010,female,private,other_region,744,688,0,708,743,677
2010,female,private,capital_city,744,718,694,0,776,673
2010,male,private,capital_city,682,774,708,638,710,667
2010,female,private,capital_city,744,756,694,0,732,667
2010,female,private,capital_city,682,706,735,708,801,667
2010,male,private,capital_city,723,774,660,614,721,660
2010,male,private,capital_city,785,850,772,642,700,657
2010,male,private,capital_city,682,737,757,0,754,657
2010,male,private,capital_city,702,673,0,672,682,653
2010,male,private,capital_city,744,850,0,727,792,653
2005,male,private,capital_city,682,713,635,563,683,650
2010,male,private,capital_city,661,774,708,0,710,650
2010,female,private,capital_city,826,718,744,727,768,650
2010,male,private,capital_city,641,688,701,603,682,647
2010,male,private,other_region,723,737,645,708,651,640
2010,male,private,capital_city,702,737,701,561,651,640
2010,male,private,other_region,744,706,0,622,691,640
2010,female,private,capital_city,723,793,757,0,700,640
2010,male,private,capital_city,764,718,0,727,732,640
2010,male,private,capital_city,620,793,0,596,659,637
2008,male,private,capital_city,641,761,0,674,681,637
2009,female,private,other_region,723,724,819,0,793,637
2010,male,private,other_region,661,774,636,635,732,633
2010,female,semiprivate,capital_city,764,678,570,642,633,630
2010,female,private,capital_city,702,774,670,589,710,630
2010,male,semiprivate,capital_city,764,793,0,680,754,630
2005,male,private,capital_city,641,806,628,0,699,628
2006,male,private,capital_city,682,740,0,651,591,627
2008,female,private,capital_city,805,850,744,0,760,627
2010,female,private,capital_city,805,850,727,708,776,627
2010,male,semiprivate,capital_city,602,756,772,585,801,627
2005,male,private,capital_city,641,644,642,0,686,627
2010,male,private,capital_city,661,793,664,0,700,623
2010,female,private,capital_city,764,678,708,0,743,623
2008,male,private,capital_city,723,763,0,749,812,623
2005,male,public,capital_city,682,713,689,0,635,620
2010,male,private,capital_city,579,737,640,0,710,620
2010,male,private,capital_city,558,774,772,0,776,620
2010,male,private,capital_city,661,774,772,0,809,620
2006,male,private,capital_city,723,666,768,0,638,617
2010,male,private,capital_city,682,774,744,0,721,617
2009,male,private,other_region,661,724,773,0,735,617
2009,male,private,other_region,702,800,637,672,735,617
2010,female,private,capital_city,702,718,701,0,754,617
2005,female,private,other_region,744,822,629,563,810,617
2005,female,public,capital_city,702,702,0,657,759,615
2010,male,private,capital_city,723,737,803,0,682,613
2008,female,private,capital_city,723,739,659,0,696,613
2010,male,private,capital_city,702,737,772,0,743,613
2005,female,private,capital_city,702,673,0,674,759,613
2005,female,public,capital_city,682,725,640,0,712,612
2010,male,private,capital_city,641,812,0,642,667,610
2010,female,private,capital_city,785,678,735,0,732,610
2005,male,private,other_region,702,800,637,672,735,654
2009,male,private,capital_city,641,724,819,0,774,610
2010,female,private,capital_city,744,737,788,0,776,610
2007,male,private,capital_city,599,748,789,0,793,610
2008,female,private,capital_city,785,716,734,0,827,610
2007,male,private,capital_city,661,739,691,0,648,607
2007,male,private,capital_city,682,713,0,708,691,607
2009,male,private,capital_city,744,688,789,0,723,607
2005,male,semiprivate,other_region,723,682,0,672,732,607
2007,female,private,capital_city,723,728,602,655,648,603
2006,female,private,capital_city,641,777,722,0,671,603
2010,female,private,capital_city,723,718,0,668,674,603
2010,female,private,capital_city,702,774,0,727,691,603
2010,female,semiprivate,capital_city,723,701,717,727,700,603
2005,male,private,capital_city,744,686,563,687,703,603
2006,male,private,capital_city,702,695,0,634,722,603
2010,female,private,capital_city,702,756,608,693,626,600
2010,male,private,capital_city,538,812,757,0,645,600
2008,male,private,capital_city,702,716,705,0,653,600
2008,female,private,capital_city,702,739,618,0,674,600
2009,female,private,other_region,805,715,0,694,704,600
2007,male,private,capital_city,764,738,706,0,707,600
2010,male,semiprivate,capital_city,723,637,670,0,721,600
2010,female,private,capital_city,744,850,595,721,732,600
2007,male,private,capital_city,744,738,714,0,737,600
2009,male,private,capital_city,641,724,773,0,812,600
2005,female,private,capital_city,744,694,635,612,642,598
2008,male,private,other_region,723,727,744,0,648,597
2007,female,private,capital_city,723,713,0,703,668,597
2006,male,private,capital_city,723,722,589,0,671,597
2010,female,private,capital_city,702,718,0,727,674,597
2010,female,public,other_region,641,850,626,652,674,597
2010,male,private,capital_city,723,756,701,0,700,597
2010,female,private,capital_city,744,737,735,0,721,597
2010,female,private,capital_city,682,737,0,689,721,597
2010,male,semiprivate,capital_city,723,774,727,649,754,597
